ID,SiteID,ObservationTimeUTC,Value
172883,36081NY09285,2019-11-01 00:00:00.000,4.3
172884,36047NY08274,2019-11-01 00:00:00.000,6.34
172885,36061NY09734,2019-11-01 00:00:00.000,11.62
172886,36061NY09929,2019-11-01 00:00:00.000,8.05
172887,36081NY09285,2019-11-01 01:00:00.000,5.52
172888,36047NY08274,2019-11-01 01:00:00.000,6.53
172889,36061NY09734,2019-11-01 01:00:00.000,10.61
172890,36061NY09929,2019-11-01 01:00:00.000,7.25
172891,36081NY09285,2019-11-01 02:00:00.000,6.34
172892,36047NY08274,2019-11-01 02:00:00.000,6.83
172893,36061NY09734,2019-11-01 02:00:00.000,9.7
172894,36061NY09929,2019-11-01 02:00:00.000,7.61
172895,36081NY09285,2019-11-01 03:00:00.000,7.46
172896,36047NY08274,2019-11-01 03:00:00.000,7.37
172897,36061NY09734,2019-11-01 03:00:00.000,9.18
172898,36061NY09929,2019-11-01 03:00:00.000,6.31
172899,36081NY09285,2019-11-01 04:00:00.000,6.97
172900,36047NY08274,2019-11-01 04:00:00.000,6.61
172901,36061NY09734,2019-11-01 04:00:00.000,8.6
172902,36061NY09929,2019-11-01 04:00:00.000,6.37
172903,36081NY09285,2019-11-01 05:00:00.000,4.26
172904,36047NY08274,2019-11-01 05:00:00.000,3.37
172905,36061NY09734,2019-11-01 05:00:00.000,3.54
172906,36061NY09929,2019-11-01 05:00:00.000,3.25
172907,36081NY09285,2019-11-01 06:00:00.000,3.17
172908,36047NY08274,2019-11-01 06:00:00.000,2.93
172909,36061NY09734,2019-11-01 06:00:00.000,3.5
172910,36061NY09929,2019-11-01 06:00:00.000,3.18
172911,36081NY09285,2019-11-01 07:00:00.000,3.33
172912,36047NY08274,2019-11-01 07:00:00.000,3.27
172913,36061NY09734,2019-11-01 07:00:00.000,3.52
172914,36061NY09929,2019-11-01 07:00:00.000,2.99
172915,36081NY09285,2019-11-01 08:00:00.000,3.14
172916,36047NY08274,2019-11-01 08:00:00.000,2.77
172917,36061NY09734,2019-11-01 08:00:00.000,3.41
172918,36061NY09929,2019-11-01 08:00:00.000,3.49
172919,36081NY09285,2019-11-01 09:00:00.000,2.8
172920,36047NY08274,2019-11-01 09:00:00.000,2.5
172921,36061NY09734,2019-11-01 09:00:00.000,3.29
172922,36061NY09929,2019-11-01 09:00:00.000,2.92
172923,36081NY09285,2019-11-01 10:00:00.000,2.73
172924,36047NY08274,2019-11-01 10:00:00.000,2.65
172925,36061NY09734,2019-11-01 10:00:00.000,3.58
172926,36061NY09929,2019-11-01 10:00:00.000,4.65
172927,36081NY09285,2019-11-01 11:00:00.000,2.88
172928,36047NY08274,2019-11-01 11:00:00.000,2.85
172929,36061NY09734,2019-11-01 11:00:00.000,4.04
172930,36061NY09929,2019-11-01 11:00:00.000,5.76
172931,36081NY09285,2019-11-01 12:00:00.000,2.99
172932,36047NY08274,2019-11-01 12:00:00.000,3.12
172933,36061NY09734,2019-11-01 12:00:00.000,5.72
172934,36061NY09929,2019-11-01 12:00:00.000,6.67
172935,36081NY09285,2019-11-01 13:00:00.000,3.07
172936,36047NY08274,2019-11-01 13:00:00.000,2.93
172937,36061NY09734,2019-11-01 13:00:00.000,6.46
172938,36061NY09929,2019-11-01 13:00:00.000,7.5
172939,36081NY09285,2019-11-01 14:00:00.000,2.91
172940,36047NY08274,2019-11-01 14:00:00.000,3.16
172941,36061NY09734,2019-11-01 14:00:00.000,5.35
172942,36061NY09929,2019-11-01 14:00:00.000,10.52
172943,36081NY09285,2019-11-01 15:00:00.000,2.98
172944,36047NY08274,2019-11-01 15:00:00.000,3.27
172945,36061NY09734,2019-11-01 15:00:00.000,6.36
172946,36061NY09929,2019-11-01 15:00:00.000,14.97
172947,36081NY09285,2019-11-01 16:00:00.000,3.18
172948,36047NY08274,2019-11-01 16:00:00.000,3.42
172949,36061NY09734,2019-11-01 16:00:00.000,6.89
172950,36061NY09929,2019-11-01 16:00:00.000,9.35
172951,36081NY09285,2019-11-01 17:00:00.000,3.0
172952,36047NY08274,2019-11-01 17:00:00.000,3.56
172953,36061NY09734,2019-11-01 17:00:00.000,7.61
172954,36061NY09929,2019-11-01 17:00:00.000,8.63
172955,36081NY09285,2019-11-01 18:00:00.000,2.98
172956,36047NY08274,2019-11-01 18:00:00.000,3.43
172957,36061NY09734,2019-11-01 18:00:00.000,7.38
172958,36061NY09929,2019-11-01 18:00:00.000,7.57
172959,36081NY09285,2019-11-01 19:00:00.000,3.07
172960,36047NY08274,2019-11-01 19:00:00.000,3.57
172961,36061NY09734,2019-11-01 19:00:00.000,5.93
172962,36061NY09929,2019-11-01 19:00:00.000,11.32
172963,36081NY09285,2019-11-01 20:00:00.000,3.21
172964,36047NY08274,2019-11-01 20:00:00.000,3.94
172965,36061NY09734,2019-11-01 20:00:00.000,8.14
172966,36061NY09929,2019-11-01 20:00:00.000,11.27
172969,36061NY09734,2019-11-01 21:00:00.000,6.14
172967,36081NY09285,2019-11-01 21:00:00.000,3.57
172970,36061NY09929,2019-11-01 21:00:00.000,10.37
172968,36047NY08274,2019-11-01 21:00:00.000,3.72
172971,36081NY09285,2019-11-01 22:00:00.000,3.57
172972,36047NY08274,2019-11-01 22:00:00.000,3.91
172973,36061NY09734,2019-11-01 22:00:00.000,8.02
172974,36061NY09929,2019-11-01 22:00:00.000,15.27
172975,36081NY09285,2019-11-01 23:00:00.000,3.93
172976,36047NY08274,2019-11-01 23:00:00.000,4.27
172977,36061NY09734,2019-11-01 23:00:00.000,8.55
172978,36061NY09929,2019-11-01 23:00:00.000,14.9
172979,36081NY09285,2019-11-02 00:00:00.000,4.79
172980,36047NY08274,2019-11-02 00:00:00.000,4.77
172981,36061NY09734,2019-11-02 00:00:00.000,9.41
172982,36061NY09929,2019-11-02 00:00:00.000,12.93
172983,36081NY09285,2019-11-02 01:00:00.000,4.45
172984,36047NY08274,2019-11-02 01:00:00.000,4.84
172985,36061NY09734,2019-11-02 01:00:00.000,9.14
172986,36061NY09929,2019-11-02 01:00:00.000,10.13
172987,36081NY09285,2019-11-02 02:00:00.000,4.47
172988,36047NY08274,2019-11-02 02:00:00.000,4.76
172989,36061NY09734,2019-11-02 02:00:00.000,7.42
172990,36061NY09929,2019-11-02 02:00:00.000,9.5
172991,36081NY09285,2019-11-02 03:00:00.000,4.85
172992,36047NY08274,2019-11-02 03:00:00.000,4.76
172993,36061NY09734,2019-11-02 03:00:00.000,7.58
172994,36061NY09929,2019-11-02 03:00:00.000,6.92
172995,36081NY09285,2019-11-02 04:00:00.000,4.76
172996,36047NY08274,2019-11-02 04:00:00.000,5.04
172997,36061NY09734,2019-11-02 04:00:00.000,6.25
172998,36061NY09929,2019-11-02 04:00:00.000,6.51
172999,36081NY09285,2019-11-02 05:00:00.000,4.51
173000,36047NY08274,2019-11-02 05:00:00.000,4.37
173001,36061NY09734,2019-11-02 05:00:00.000,5.59
173002,36061NY09929,2019-11-02 05:00:00.000,5.68
173003,36081NY09285,2019-11-02 06:00:00.000,4.8
173004,36047NY08274,2019-11-02 06:00:00.000,4.47
173005,36061NY09734,2019-11-02 06:00:00.000,5.24
173006,36061NY09929,2019-11-02 06:00:00.000,5.0
173007,36081NY09285,2019-11-02 07:00:00.000,4.67
173008,36047NY08274,2019-11-02 07:00:00.000,4.12
173009,36061NY09734,2019-11-02 07:00:00.000,4.69
173010,36061NY09929,2019-11-02 07:00:00.000,4.57
173011,36081NY09285,2019-11-02 08:00:00.000,4.64
173012,36047NY08274,2019-11-02 08:00:00.000,4.88
173013,36061NY09734,2019-11-02 08:00:00.000,5.03
173014,36061NY09929,2019-11-02 08:00:00.000,4.55
173015,36081NY09285,2019-11-02 09:00:00.000,4.77
173016,36047NY08274,2019-11-02 09:00:00.000,6.18
173017,36061NY09734,2019-11-02 09:00:00.000,5.31
173018,36061NY09929,2019-11-02 09:00:00.000,4.8
173019,36081NY09285,2019-11-02 10:00:00.000,5.56
173020,36047NY08274,2019-11-02 10:00:00.000,6.01
173021,36061NY09734,2019-11-02 10:00:00.000,5.11
173022,36061NY09929,2019-11-02 10:00:00.000,5.95
173023,36081NY09285,2019-11-02 11:00:00.000,6.75
173024,36047NY08274,2019-11-02 11:00:00.000,6.68
173025,36061NY09734,2019-11-02 11:00:00.000,5.26
173026,36061NY09929,2019-11-02 11:00:00.000,5.48
173027,36081NY09285,2019-11-02 12:00:00.000,7.46
173028,36047NY08274,2019-11-02 12:00:00.000,6.11
173029,36061NY09734,2019-11-02 12:00:00.000,5.75
173030,36061NY09929,2019-11-02 12:00:00.000,9.81
173031,36081NY09285,2019-11-02 13:00:00.000,4.74
173032,36047NY08274,2019-11-02 13:00:00.000,6.73
173033,36061NY09734,2019-11-02 13:00:00.000,6.27
173034,36061NY09929,2019-11-02 13:00:00.000,9.58
173035,36081NY09285,2019-11-02 14:00:00.000,4.65
173036,36047NY08274,2019-11-02 14:00:00.000,6.23
173037,36061NY09734,2019-11-02 14:00:00.000,7.22
173038,36061NY09929,2019-11-02 14:00:00.000,18.18
173039,36081NY09285,2019-11-02 15:00:00.000,5.25
173040,36047NY08274,2019-11-02 15:00:00.000,5.94
173041,36061NY09734,2019-11-02 15:00:00.000,12.34
173042,36061NY09929,2019-11-02 15:00:00.000,7.7
173043,36081NY09285,2019-11-02 16:00:00.000,6.36
173044,36047NY08274,2019-11-02 16:00:00.000,6.56
173045,36061NY09734,2019-11-02 16:00:00.000,10.53
173046,36061NY09929,2019-11-02 16:00:00.000,9.0
173047,36081NY09285,2019-11-02 17:00:00.000,6.38
173048,36047NY08274,2019-11-02 17:00:00.000,6.1
173049,36061NY09734,2019-11-02 17:00:00.000,11.12
173050,36061NY09929,2019-11-02 17:00:00.000,10.06
173051,36081NY09285,2019-11-02 18:00:00.000,6.52
173052,36047NY08274,2019-11-02 18:00:00.000,6.34
173053,36061NY09734,2019-11-02 18:00:00.000,11.16
173054,36061NY09929,2019-11-02 18:00:00.000,8.82
173055,36081NY09285,2019-11-02 19:00:00.000,6.17
173056,36047NY08274,2019-11-02 19:00:00.000,6.38
173057,36061NY09734,2019-11-02 19:00:00.000,8.19
173058,36061NY09929,2019-11-02 19:00:00.000,8.47
173059,36081NY09285,2019-11-02 20:00:00.000,5.91
173060,36047NY08274,2019-11-02 20:00:00.000,6.42
173061,36061NY09734,2019-11-02 20:00:00.000,10.45
173062,36061NY09929,2019-11-02 20:00:00.000,9.22
173063,36081NY09285,2019-11-02 21:00:00.000,5.89
173064,36047NY08274,2019-11-02 21:00:00.000,6.44
173065,36061NY09734,2019-11-02 21:00:00.000,15.89
173066,36061NY09929,2019-11-02 21:00:00.000,10.18
