SiteName,Operator,starttime,timeofday,Value
BQE,nyccas,2025-04-15 00:00:00.000,12:00 AM,8.31
BQE,nyccas,2025-04-15 02:00:00.000,02:00 AM,8.36
BQE,nyccas,2025-04-16 09:00:00.000,09:00 AM,2.42
BQE,nyccas,2025-04-16 16:00:00.000,04:00 PM,2.38
BQE,nyccas,2025-04-16 21:00:00.000,09:00 PM,2.35
BQE,nyccas,2025-04-15 14:00:00.000,02:00 PM,5.61
BQE,nyccas,2025-04-17 11:00:00.000,11:00 AM,3.6
BQE,nyccas,2025-04-15 17:00:00.000,05:00 PM,3.58
BQE,nyccas,2025-04-17 16:00:00.000,04:00 PM,3.12
BQE,nyccas,2025-04-15 22:00:00.000,10:00 PM,2.23
BQE,nyccas,2025-04-14 21:00:00.000,09:00 PM,7.35
BQE,nyccas,2025-04-14 23:00:00.000,11:00 PM,7.73
BQE,nyccas,2025-04-15 11:00:00.000,11:00 AM,12.25
BQE,nyccas,2025-04-15 07:00:00.000,07:00 AM,11.55
BQE,nyccas,2025-04-15 12:00:00.000,12:00 PM,8.55
BQE,nyccas,2025-04-16 00:00:00.000,12:00 AM,2.25
BQE,nyccas,2025-04-14 20:00:00.000,08:00 PM,6.76
BQE,nyccas,2025-04-16 07:00:00.000,07:00 AM,2.48
BQE,nyccas,2025-04-16 15:00:00.000,03:00 PM,2.82
BQE,nyccas,2025-04-16 03:00:00.000,03:00 AM,2.28
BQE,nyccas,2025-04-17 20:00:00.000,08:00 PM,3.49
BQE,nyccas,2025-04-16 11:00:00.000,11:00 AM,2.86
BQE,nyccas,2025-04-15 06:00:00.000,06:00 AM,10.29
BQE,nyccas,2025-04-14 22:00:00.000,10:00 PM,7.78
BQE,nyccas,2025-04-15 03:00:00.000,03:00 AM,7.64
BQE,nyccas,2025-04-15 09:00:00.000,09:00 AM,11.44
BQE,nyccas,2025-04-15 13:00:00.000,01:00 PM,7.25
BQE,nyccas,2025-04-18 00:00:00.000,12:00 AM,3.69
BQE,nyccas,2025-04-15 20:00:00.000,08:00 PM,3.3
BQE,nyccas,2025-04-16 17:00:00.000,05:00 PM,2.29
BQE,nyccas,2025-04-15 01:00:00.000,01:00 AM,8.93
BQE,nyccas,2025-04-16 05:00:00.000,05:00 AM,2.36
BQE,nyccas,2025-04-15 23:00:00.000,11:00 PM,2.19
BQE,nyccas,2025-04-17 05:00:00.000,05:00 AM,3.22
BQE,nyccas,2025-04-15 16:00:00.000,04:00 PM,4.77
BQE,nyccas,2025-04-18 02:00:00.000,02:00 AM,7.68
BQE,nyccas,2025-04-16 02:00:00.000,02:00 AM,2.23
BQE,nyccas,2025-04-17 22:00:00.000,10:00 PM,3.51
BQE,nyccas,2025-04-15 19:00:00.000,07:00 PM,2.5
BQE,nyccas,2025-04-16 12:00:00.000,12:00 PM,2.76
BQE,nyccas,2025-04-16 13:00:00.000,01:00 PM,2.96
BQE,nyccas,2025-04-17 15:00:00.000,03:00 PM,4.59
BQE,nyccas,2025-04-15 21:00:00.000,09:00 PM,2.77
BQE,nyccas,2025-04-18 06:00:00.000,06:00 AM,11.33
BQE,nyccas,2025-04-17 00:00:00.000,12:00 AM,2.81
BQE,nyccas,2025-04-18 15:00:00.000,03:00 PM,4.06
BQE,nyccas,2025-04-16 01:00:00.000,01:00 AM,2.2
BQE,nyccas,2025-04-18 07:00:00.000,07:00 AM,16.14
BQE,nyccas,2025-04-17 21:00:00.000,09:00 PM,3.25
BQE,nyccas,2025-04-18 17:00:00.000,05:00 PM,4.48
BQE,nyccas,2025-04-16 04:00:00.000,04:00 AM,2.35
BQE,nyccas,2025-04-18 18:00:00.000,06:00 PM,4.38
BQE,nyccas,2025-04-18 09:00:00.000,09:00 AM,11.02
BQE,nyccas,2025-04-19 07:00:00.000,07:00 AM,10.31
BQE,nyccas,2025-04-16 08:00:00.000,08:00 AM,2.59
BQE,nyccas,2025-04-19 11:00:00.000,11:00 AM,9.74
BQE,nyccas,2025-04-15 05:00:00.000,05:00 AM,9.73
BQE,nyccas,2025-04-19 09:00:00.000,09:00 AM,8.62
BQE,nyccas,2025-04-16 10:00:00.000,10:00 AM,2.61
BQE,nyccas,2025-04-19 21:00:00.000,09:00 PM,10.49
BQE,nyccas,2025-04-15 10:00:00.000,10:00 AM,12.68
BQE,nyccas,2025-04-19 17:00:00.000,05:00 PM,10.3
BQE,nyccas,2025-04-16 18:00:00.000,06:00 PM,2.26
BQE,nyccas,2025-04-20 13:00:00.000,01:00 PM,3.09
BQE,nyccas,2025-04-18 16:00:00.000,04:00 PM,4.33
BQE,nyccas,2025-04-17 17:00:00.000,05:00 PM,2.6
BQE,nyccas,2025-04-15 04:00:00.000,04:00 AM,7.92
BQE,nyccas,2025-04-17 03:00:00.000,03:00 AM,3.01
BQE,nyccas,2025-04-18 20:00:00.000,08:00 PM,5.48
BQE,nyccas,2025-04-15 15:00:00.000,03:00 PM,5.28
BQE,nyccas,2025-04-15 08:00:00.000,08:00 AM,10.52
BQE,nyccas,2025-04-17 08:00:00.000,08:00 AM,3.44
BQE,nyccas,2025-04-18 23:00:00.000,11:00 PM,8.35
BQE,nyccas,2025-04-18 05:00:00.000,05:00 AM,9.88
BQE,nyccas,2025-04-15 18:00:00.000,06:00 PM,2.75
BQE,nyccas,2025-04-18 01:00:00.000,01:00 AM,5.04
BQE,nyccas,2025-04-19 02:00:00.000,02:00 AM,9.57
BQE,nyccas,2025-04-16 14:00:00.000,02:00 PM,2.96
BQE,nyccas,2025-04-16 06:00:00.000,06:00 AM,2.4
BQE,nyccas,2025-04-18 04:00:00.000,04:00 AM,7.28
BQE,nyccas,2025-04-20 00:00:00.000,12:00 AM,11.88
BQE,nyccas,2025-04-18 11:00:00.000,11:00 AM,6.29
BQE,nyccas,2025-04-16 23:00:00.000,11:00 PM,2.63
BQE,nyccas,2025-04-20 17:00:00.000,05:00 PM,3.23
BQE,nyccas,2025-04-19 03:00:00.000,03:00 AM,9.37
BQE,nyccas,2025-04-19 20:00:00.000,08:00 PM,10.77
BQE,nyccas,2025-04-16 20:00:00.000,08:00 PM,2.49
BQE,nyccas,2025-04-20 20:00:00.000,08:00 PM,3.52
BQE,nyccas,2025-04-20 09:00:00.000,09:00 AM,3.12
BQE,nyccas,2025-04-20 02:00:00.000,02:00 AM,9.91
BQE,nyccas,2025-04-17 02:00:00.000,02:00 AM,2.85
BQE,nyccas,2025-04-21 00:00:00.000,12:00 AM,3.53
BQE,nyccas,2025-04-20 21:00:00.000,09:00 PM,3.35
BQE,nyccas,2025-04-20 12:00:00.000,12:00 PM,3.03
BQE,nyccas,2025-04-17 04:00:00.000,04:00 AM,3.19
BQE,nyccas,2025-04-21 02:00:00.000,02:00 AM,3.98
BQE,nyccas,2025-04-19 05:00:00.000,05:00 AM,9.42
BQE,nyccas,2025-04-16 19:00:00.000,07:00 PM,2.27
BQE,nyccas,2025-04-17 07:00:00.000,07:00 AM,4.09
BQE,nyccas,2025-04-17 09:00:00.000,09:00 AM,3.49
BQE,nyccas,2025-04-21 07:00:00.000,07:00 AM,3.45
BQE,nyccas,2025-04-19 12:00:00.000,12:00 PM,10.47
BQE,nyccas,2025-04-16 22:00:00.000,10:00 PM,2.3
BQE,nyccas,2025-04-17 18:00:00.000,06:00 PM,2.52
BQE,nyccas,2025-04-21 09:00:00.000,09:00 AM,4.09
BQE,nyccas,2025-04-17 06:00:00.000,06:00 AM,3.49
BQE,nyccas,2025-04-17 23:00:00.000,11:00 PM,3.1
BQE,nyccas,2025-04-21 17:00:00.000,05:00 PM,4.15
BQE,nyccas,2025-04-19 15:00:00.000,03:00 PM,12.41
BQE,nyccas,2025-04-17 01:00:00.000,01:00 AM,2.85
BQE,nyccas,2025-04-20 15:00:00.000,03:00 PM,3.12
BQE,nyccas,2025-04-22 11:00:00.000,11:00 AM,10.12
BQE,nyccas,2025-04-17 10:00:00.000,10:00 AM,3.48
BQE,nyccas,2025-04-18 22:00:00.000,10:00 PM,7.25
BQE,nyccas,2025-04-21 05:00:00.000,05:00 AM,3.2
BQE,nyccas,2025-04-20 07:00:00.000,07:00 AM,4.83
BQE,nyccas,2025-04-21 15:00:00.000,03:00 PM,4.27
BQE,nyccas,2025-04-18 12:00:00.000,12:00 PM,4.67
BQE,nyccas,2025-04-22 16:00:00.000,04:00 PM,5.46
BQE,nyccas,2025-04-17 13:00:00.000,01:00 PM,3.89
BQE,nyccas,2025-04-19 04:00:00.000,04:00 AM,9.42
BQE,nyccas,2025-04-18 13:00:00.000,01:00 PM,3.97
Broadway_35th_St,nyccas,2025-04-14 20:00:00.000,08:00 PM,10.27
BQE,nyccas,2025-04-17 19:00:00.000,07:00 PM,2.42
BQE,nyccas,2025-04-19 08:00:00.000,08:00 AM,9.09
BQE,nyccas,2025-04-18 19:00:00.000,07:00 PM,4.88
Broadway_35th_St,nyccas,2025-04-15 03:00:00.000,03:00 AM,8.6
BQE,nyccas,2025-04-18 03:00:00.000,03:00 AM,7.41
BQE,nyccas,2025-04-19 10:00:00.000,10:00 AM,9.31
BQE,nyccas,2025-04-18 21:00:00.000,09:00 PM,6.38
Broadway_35th_St,nyccas,2025-04-15 06:00:00.000,06:00 AM,9.73
BQE,nyccas,2025-04-18 08:00:00.000,08:00 AM,15.31
BQE,nyccas,2025-04-19 18:00:00.000,06:00 PM,9.87
BQE,nyccas,2025-04-19 00:00:00.000,12:00 AM,9.69
Broadway_35th_St,nyccas,2025-04-15 10:00:00.000,10:00 AM,13.62
BQE,nyccas,2025-04-18 14:00:00.000,02:00 PM,4.13
BQE,nyccas,2025-04-20 06:00:00.000,06:00 AM,4.43
Broadway_35th_St,nyccas,2025-04-15 15:00:00.000,03:00 PM,5.64
BQE,nyccas,2025-04-20 11:00:00.000,11:00 AM,3.13
BQE,nyccas,2025-04-21 21:00:00.000,09:00 PM,4.58
Broadway_35th_St,nyccas,2025-04-15 23:00:00.000,11:00 PM,2.57
BQE,nyccas,2025-04-19 01:00:00.000,01:00 AM,9.16
BQE,nyccas,2025-04-20 14:00:00.000,02:00 PM,3.1
BQE,nyccas,2025-04-22 01:00:00.000,01:00 AM,5.15
Broadway_35th_St,nyccas,2025-04-16 04:00:00.000,04:00 AM,2.38
BQE,nyccas,2025-04-20 16:00:00.000,04:00 PM,3.14
BQE,nyccas,2025-04-21 11:00:00.000,11:00 AM,4.1
BQE,nyccas,2025-04-17 12:00:00.000,12:00 PM,3.33
BQE,nyccas,2025-04-19 06:00:00.000,06:00 AM,10.78
BQE,nyccas,2025-04-22 05:00:00.000,05:00 AM,8.37
BQE,nyccas,2025-04-20 22:00:00.000,10:00 PM,2.72
BQE,nyccas,2025-04-21 13:00:00.000,01:00 PM,4.11
BQE,nyccas,2025-04-19 13:00:00.000,01:00 PM,11.1
BQE,nyccas,2025-04-22 09:00:00.000,09:00 AM,13.95
BQE,nyccas,2025-04-20 23:00:00.000,11:00 PM,2.8
BQE,nyccas,2025-04-17 14:00:00.000,02:00 PM,4.19
BQE,nyccas,2025-04-20 19:00:00.000,07:00 PM,3.63
Broadway_35th_St,nyccas,2025-04-16 08:00:00.000,08:00 AM,3.21
BQE,nyccas,2025-04-21 04:00:00.000,04:00 AM,3.34
