ID,SiteID,ObservationTimeUTC,Value
652082,36061NY08454,2025-01-07 20:00:00.000,3.15
655092,36085NY03820,2025-01-07 20:00:00.000,3.96
649629,36061NY10130,2025-01-07 20:00:00.000,4.65
649441,36061NY09929,2025-01-07 20:00:00.000,5.99
652930,36061NY09734,2025-01-07 20:00:00.000,3.34
655972,36047NY07974,2025-01-07 20:00:00.000,3.22
650628,36061NY08552,2025-01-07 20:00:00.000,3.61
653096,36005NY11534,2025-01-07 20:00:00.000,2.73
651407,36081NY09285,2025-01-07 20:00:00.000,2.64
653753,36061NY08653,2025-01-07 20:00:00.000,3.88
654298,36081NY07615,2025-01-07 20:00:00.000,3.41
649442,36061NY09929,2025-01-07 21:00:00.000,5.59
651408,36081NY09285,2025-01-07 21:00:00.000,2.55
655973,36047NY07974,2025-01-07 21:00:00.000,3.93
654299,36081NY07615,2025-01-07 21:00:00.000,3.51
655093,36085NY03820,2025-01-07 21:00:00.000,3.6
650629,36061NY08552,2025-01-07 21:00:00.000,3.65
653754,36061NY08653,2025-01-07 21:00:00.000,3.91
649630,36061NY10130,2025-01-07 21:00:00.000,3.32
653097,36005NY11534,2025-01-07 21:00:00.000,3.27
652931,36061NY09734,2025-01-07 21:00:00.000,3.48
652083,36061NY08454,2025-01-07 21:00:00.000,3.12
649443,36061NY09929,2025-01-07 22:00:00.000,6.44
649631,36061NY10130,2025-01-07 22:00:00.000,3.11
655094,36085NY03820,2025-01-07 22:00:00.000,3.41
652084,36061NY08454,2025-01-07 22:00:00.000,3.43
655974,36047NY07974,2025-01-07 22:00:00.000,2.93
650630,36061NY08552,2025-01-07 22:00:00.000,3.88
652932,36061NY09734,2025-01-07 22:00:00.000,3.89
651409,36081NY09285,2025-01-07 22:00:00.000,2.83
653098,36005NY11534,2025-01-07 22:00:00.000,3.96
653755,36061NY08653,2025-01-07 22:00:00.000,4.17
654300,36081NY07615,2025-01-07 22:00:00.000,3.52
649444,36061NY09929,2025-01-07 23:00:00.000,5.87
651410,36081NY09285,2025-01-07 23:00:00.000,2.8
655975,36047NY07974,2025-01-07 23:00:00.000,3.11
654301,36081NY07615,2025-01-07 23:00:00.000,3.97
655095,36085NY03820,2025-01-07 23:00:00.000,3.57
650631,36061NY08552,2025-01-07 23:00:00.000,3.95
653756,36061NY08653,2025-01-07 23:00:00.000,4.1
649632,36061NY10130,2025-01-07 23:00:00.000,3.26
653099,36005NY11534,2025-01-07 23:00:00.000,3.91
652933,36061NY09734,2025-01-07 23:00:00.000,4.16
652085,36061NY08454,2025-01-07 23:00:00.000,3.74
649445,36061NY09929,2025-01-08 00:00:00.000,5.17
