SiteName,Operator,starttime,timeofday,Value
BQE,nyccas,2025-08-01 22:00:00.000,10:00 PM,14.93
BQE,nyccas,2025-08-02 16:00:00.000,04:00 PM,10.27
BQE,nyccas,2025-08-01 09:00:00.000,09:00 AM,6.86
BQE,nyccas,2025-08-02 23:00:00.000,11:00 PM,9.26
BQE,nyccas,2025-08-03 01:00:00.000,01:00 AM,10.16
BQE,nyccas,2025-08-01 11:00:00.000,11:00 AM,7.97
BQE,nyccas,2025-08-03 08:00:00.000,08:00 AM,8.85
BQE,nyccas,2025-08-02 06:00:00.000,06:00 AM,9.85
BQE,nyccas,2025-08-03 10:00:00.000,10:00 AM,13.74
BQE,nyccas,2025-08-02 15:00:00.000,03:00 PM,6.96
BQE,nyccas,2025-08-01 07:00:00.000,07:00 AM,6.18
BQE,nyccas,2025-08-01 17:00:00.000,05:00 PM,11.21
BQE,nyccas,2025-08-01 10:00:00.000,10:00 AM,6.89
BQE,nyccas,2025-08-01 14:00:00.000,02:00 PM,11.0
BQE,nyccas,2025-08-01 15:00:00.000,03:00 PM,10.8
BQE,nyccas,2025-08-01 06:00:00.000,06:00 AM,5.33
BQE,nyccas,2025-08-01 20:00:00.000,08:00 PM,12.34
BQE,nyccas,2025-08-02 07:00:00.000,07:00 AM,7.41
BQE,nyccas,2025-08-01 18:00:00.000,06:00 PM,11.44
BQE,nyccas,2025-08-03 16:00:00.000,04:00 PM,8.53
BQE,nyccas,2025-08-02 20:00:00.000,08:00 PM,8.69
BQE,nyccas,2025-08-02 10:00:00.000,10:00 AM,11.61
BQE,nyccas,2025-08-01 23:00:00.000,11:00 PM,14.85
BQE,nyccas,2025-08-01 08:00:00.000,08:00 AM,5.67
BQE,nyccas,2025-08-03 00:00:00.000,12:00 AM,9.51
BQE,nyccas,2025-08-02 12:00:00.000,12:00 PM,5.64
BQE,nyccas,2025-08-02 00:00:00.000,12:00 AM,15.12
BQE,nyccas,2025-08-01 13:00:00.000,01:00 PM,9.39
BQE,nyccas,2025-08-03 03:00:00.000,03:00 AM,10.91
BQE,nyccas,2025-08-02 13:00:00.000,01:00 PM,5.71
BQE,nyccas,2025-08-02 01:00:00.000,01:00 AM,15.7
BQE,nyccas,2025-08-01 19:00:00.000,07:00 PM,11.34
BQE,nyccas,2025-08-03 05:00:00.000,05:00 AM,9.81
BQE,nyccas,2025-08-02 19:00:00.000,07:00 PM,7.59
BQE,nyccas,2025-08-03 02:00:00.000,02:00 AM,10.93
BQE,nyccas,2025-08-01 21:00:00.000,09:00 PM,14.1
BQE,nyccas,2025-08-03 06:00:00.000,06:00 AM,8.43
BQE,nyccas,2025-08-02 21:00:00.000,09:00 PM,9.29
BQE,nyccas,2025-08-04 00:00:00.000,12:00 AM,9.09
BQE,nyccas,2025-08-02 14:00:00.000,02:00 PM,6.16
BQE,nyccas,2025-08-03 15:00:00.000,03:00 PM,10.77
BQE,nyccas,2025-08-03 04:00:00.000,04:00 AM,11.64
BQE,nyccas,2025-08-04 16:00:00.000,04:00 PM,19.94
BQE,nyccas,2025-08-03 11:00:00.000,11:00 AM,12.04
BQE,nyccas,2025-08-04 09:00:00.000,09:00 AM,15.94
BQE,nyccas,2025-08-03 07:00:00.000,07:00 AM,7.41
BQE,nyccas,2025-08-04 23:00:00.000,11:00 PM,17.92
BQE,nyccas,2025-08-03 12:00:00.000,12:00 PM,10.97
BQE,nyccas,2025-08-04 11:00:00.000,11:00 AM,18.6
BQE,nyccas,2025-08-02 09:00:00.000,09:00 AM,9.69
BQE,nyccas,2025-08-05 07:00:00.000,07:00 AM,30.69
BQE,nyccas,2025-08-03 14:00:00.000,02:00 PM,14.05
BQE,nyccas,2025-08-05 06:00:00.000,06:00 AM,26.65
BQE,nyccas,2025-08-02 11:00:00.000,11:00 AM,8.02
